step,prediction_loss
1,0.477594792842865
2,0.4287322461605072
3,0.3813532888889313
4,0.3361155092716217
5,0.2896557450294494
6,0.2429437041282653
7,0.1961016803979873
8,0.151154413819313
9,0.1090241819620132
10,0.0725678130984306
11,0.0472692102193832
12,0.0351496003568172
13,0.0354954935610294
14,0.0447928383946418
15,0.0557833909988403
16,0.0633982867002487
17,0.0631199032068252
18,0.06024856492877
19,0.0503286235034465
20,0.0377856642007827
21,0.0304976422339677
22,0.0235443152487278
23,0.0207517128437757
24,0.0206471998244524
25,0.0206551849842071
26,0.0222167633473873
27,0.0227885209023952
28,0.0212068632245063
29,0.0187878366559743
30,0.0160830579698085
31,0.0125667871907353
32,0.0103238336741924
33,0.0078943762928247
34,0.0056566689163446
35,0.0056084268726408
36,0.0056311832740902
37,0.0062150885351002
38,0.0064266370609402
39,0.0066034770570695
40,0.0070273680612444
41,0.0062348595820367
42,0.0053638140670955
43,0.0040555647574365
44,0.0029398926999419
45,0.0023904351983219
46,0.001826170948334
47,0.0016104935202747
48,0.0018502835882827
49,0.001888601691462
50,0.0024705657269805
51,0.0025848890654742
52,0.0027024620212614
53,0.0026258018333464
54,0.0025002509355545
55,0.0025213945191353
56,0.0018989448435604
57,0.0018652159487828
58,0.0017011949094012
59,0.0014609569916501
60,0.0015179961919784
61,0.0016072418075054
62,0.0013767600758001
63,0.00160312152002
64,0.0016889815451577
65,0.0016985252732411
66,0.0016093164449557
67,0.0015822447603568
68,0.0015548825031146
69,0.0016499761259183
70,0.0015291982563212
71,0.0014822765951976
72,0.0016271964414045
73,0.0015837204409763
74,0.0016666942974552
75,0.0016534278402104
76,0.0016600161325186
77,0.0015777089865878
78,0.0014501851983368
79,0.0014870801242068
80,0.0015799016691744
81,0.0017837521154433
82,0.0017535318620502
83,0.0018192783463746
84,0.0018313002074137
85,0.0018778311787173
86,0.0017197147244587
87,0.0020156234968453
88,0.0018584232311695
89,0.0019291228381916
90,0.0017897257348522
91,0.0018112547695636
92,0.0016371001256629
93,0.0019193014595657
94,0.0019528066040948
95,0.0018955642590299
96,0.0019603865221142
97,0.0019461415940895
98,0.0021530846133828
99,0.0020666574127972
100,0.001958416076377
101,0.0018720166990533
102,0.00228823418729
103,0.002182733034715
104,0.0024928010534495
105,0.0021314213518053
106,0.0022343040909618
107,0.0023806716781109
108,0.0022531806025654
109,0.0024097941350191
110,0.0030440869741141
111,0.0025873959530144
112,0.0026832537259906
113,0.0020784509833902
114,0.0024496498517692
115,0.0026423586532473
116,0.0025846809148788
117,0.0029539440292865
118,0.0024719361681491
119,0.0024758055806159
120,0.0022593061439692
121,0.0024421659763902
122,0.0029053462203592
123,0.0027647295501083
124,0.002533878898248
125,0.0024824172724038
126,0.0029795456212013
127,0.0027539795264601
128,0.0027788372244685
129,0.0029209516942501
130,0.0029592281207442
131,0.0029615785460919
132,0.0023998746182769
133,0.002655855147168
134,0.0032115443609654
135,0.0029950274620205
136,0.0030517159029841
137,0.0032496373169124
138,0.0033884707372635
139,0.0034203706309199
140,0.0028671706095337
141,0.0030057884287089
142,0.0032309147063642
143,0.0029378938488662
144,0.0031713794451206
145,0.0030579112935811
146,0.0040827640332281
147,0.0038962019607424
148,0.0034533769357949
149,0.0038592149503529
150,0.0036850092001259
151,0.003143944311887
152,0.0032589072361588
153,0.0038877609185874
154,0.0031223036348819
155,0.0033713381271809
156,0.0033098708372563
157,0.0030837601516395
158,0.0035500226076692
159,0.0033378973603248
160,0.0034980464261025
161,0.0038611670024693
162,0.003685635747388
163,0.0038681612350046
164,0.0043927216902375
165,0.0036028923932462
166,0.0036423979327082
167,0.0031921095214784
168,0.002813905943185
169,0.0034409691579639
170,0.0037618840578943
171,0.0033794536720961
172,0.003684575902298
173,0.0032101306132972
174,0.0033589887898415
175,0.0034754192456603
176,0.0036188890226185
177,0.0040888478979468
178,0.0035305072087794
179,0.0030715300235897
180,0.003233695635572
181,0.0030619709286838
